Year,Month,SST_Anomaly,ENSO_Phase
1936,Jan,0.74,Neutral
1936,Jul,-0.34,Neutral
1936,Jun,-0.35,Neutral
1936,Mar,0.0,Neutral
1936,May,-0.07,Neutral
1936,Nov,-0.03,Neutral
1936,Oct,0.38,Neutral
1936,Sep,-0.1,Neutral
1937,Apr,0.21,Neutral
1937,Aug,-0.2,Neutral
1937,Dec,0.22,Neutral
1937,Feb,0.3,Neutral
1937,Jan,-0.3,Neutral
1937,Jul,0.09,Neutral
1937,Jun,-0.3,Neutral
1937,Mar,0.25,Neutral
1937,May,-0.43,Neutral
1937,Nov,0.21,Neutral
1937,Oct,-0.1,Neutral
1937,Sep,0.17,Neutral
1938,Apr,0.09,Neutral
1938,Aug,-0.81,Neutral
1938,Dec,-0.79,Neutral
1938,Feb,0.23,Neutral
1938,Jan,-0.21,Neutral
1938,Jul,-0.98,Neutral
1938,Jun,-0.88,Neutral
1938,Mar,-0.06,Neutral
1938,May,-0.33,Neutral
1938,Nov,-0.72,Neutral
1938,Oct,-0.75,Neutral
1938,Sep,-0.28,Neutral
1939,Apr,-0.27,Neutral
1939,Aug,0.06,Neutral
1939,Dec,0.05,Neutral
1939,Feb,-0.95,Neutral
1939,Jan,-0.67,Neutral
1939,Jul,0.25,Neutral
1939,Jun,0.05,Neutral
1939,Mar,-0.85,Neutral
1939,May,-0.25,Neutral
1939,Nov,0.32,Neutral
1939,Oct,-0.47,Neutral
1939,Sep,0.43,Neutral
1940,Apr,0.8,El Niño
1940,Aug,0.75,El Niño
1940,Dec,1.39,El Niño
1940,Feb,1.38,El Niño
1940,Jan,1.18,El Niño
